compl,accel,decel,pred,answer,loss
3,5,3,61.21792984,62,-0.78207016
3,5,4,75.75537109,75,0.755371094
3,5,4,75.75537109,76,-0.244628906
3,5,5,76.60900116,76,0.60900116
3,5,5,76.60900116,77,-0.39099884
4,1,1,25.17186737,25,0.171867371
4,1,1,25.17186737,26,-0.828132629
4,1,2,57.49696732,57,0.496967316
4,1,2,57.49696732,58,-0.503032684
4,1,3,65.78872681,65,0.788726807
4,1,3,65.78872681,66,-0.211273193
4,1,4,74.39282227,74,0.392822266
4,1,4,74.39282227,75,-0.607177734
4,1,5,83.80215454,83,0.802154541
4,1,5,83.80215454,84,-0.197845459
4,2,1,23.70439529,23,0.704395294
4,2,1,23.70439529,24,-0.295604706
4,2,2,54.64371109,54,0.64371109
4,2,2,54.64371109,55,-0.35628891
4,2,3,66.30487823,66,0.304878235
4,2,3,66.30487823,67,-0.695121765
4,2,4,75.64794159,75,0.647941589
4,2,4,75.64794159,76,-0.352058411
4,2,5,85.49567413,85,0.495674133
4,2,5,85.49567413,86,-0.504325867
4,3,1,28.63939667,28,0.639396667
4,3,1,28.63939667,29,-0.360603333
4,3,2,52.35256577,52,0.352565765
4,3,2,52.35256577,53,-0.647434235
4,3,3,64.84736633,64,0.847366333
4,3,3,64.84736633,65,-0.152633667
4,3,4,77.84550476,77,0.845504761
4,3,4,77.84550476,78,-0.154495239
4,3,5,84.61341095,84,0.61341095
4,3,5,84.61341095,85,-0.38658905
4,4,1,30.39018631,30,0.39018631
4,4,1,30.39018631,31,-0.60981369
4,4,2,67.77533722,67,0.775337219
4,4,2,67.77533722,68,-0.224662781
4,4,3,68.49880219,68,0.498802185
4,4,3,68.49880219,69,-0.501197815
4,4,4,76.92459869,76,0.924598694
4,4,4,76.92459869,77,-0.075401306
4,4,5,83.73374176,83,0.73374176
4,4,5,83.73374176,84,-0.26625824
4,5,1,23.49065208,23,0.490652084
4,5,1,23.49065208,24,-0.509347916
4,5,2,75.8740387,75,0.874038696
4,5,2,75.8740387,76,-0.125961304
4,5,3,74.57623291,74,0.57623291
4,5,3,74.57623291,75,-0.42376709
4,5,4,83.27365112,83,0.273651123
4,5,4,83.27365112,84,-0.726348877
4,5,5,88.37807465,88,0.378074646
4,5,5,88.37807465,89,-0.621925354
5,1,1,30.00004959,30,4.96E-05
5,1,1,30.00004959,31,-0.999950409
