compl,accel,decel,pred,answer,loss
1,1,2,22.63945007,5,17.63945007
1,1,2,22.63945007,6,16.63945007
1,1,2,22.63945007,7,15.63945007
1,1,2,22.63945007,8,14.63945007
1,1,2,22.63945007,9,13.63945007
1,1,2,22.63945007,10,12.63945007
1,1,2,22.63945007,11,11.63945007
1,1,2,22.63945007,12,10.63945007
1,1,2,22.63945007,13,9.639450073
1,1,2,22.63945007,14,8.639450073
1,1,2,22.63945007,15,7.639450073
1,1,2,22.63945007,16,6.639450073
1,1,2,22.63945007,17,5.639450073
1,1,2,22.63945007,18,4.639450073
1,1,2,22.63945007,19,3.639450073
1,1,2,22.63945007,20,2.639450073
1,1,2,22.63945007,21,1.639450073
1,1,2,22.63945007,22,0.639450073
1,1,2,22.63945007,23,-0.360549927
1,1,2,22.63945007,24,-1.360549927
1,1,2,22.63945007,25,-2.360549927
1,1,2,22.63945007,26,-3.360549927
1,1,2,22.63945007,27,-4.360549927
1,1,2,22.63945007,28,-5.360549927
1,1,2,22.63945007,29,-6.360549927
1,1,2,22.63945007,30,-7.360549927
1,1,2,22.63945007,31,-8.360549927
1,1,2,22.63945007,32,-9.360549927
1,1,2,22.63945007,33,-10.36054993
1,1,2,22.63945007,34,-11.36054993
1,1,2,22.63945007,35,-12.36054993
1,1,2,22.63945007,36,-13.36054993
1,1,2,22.63945007,37,-14.36054993
1,1,2,22.63945007,38,-15.36054993
1,1,2,22.63945007,39,-16.36054993
1,1,2,22.63945007,40,-17.36054993
1,1,2,22.63945007,41,-18.36054993
1,1,2,22.63945007,42,-19.36054993
1,1,2,22.63945007,43,-20.36054993
1,1,2,22.63945007,44,-21.36054993
1,1,2,22.63945007,45,-22.36054993
1,1,2,22.63945007,46,-23.36054993
1,1,2,22.63945007,47,-24.36054993
1,1,2,22.63945007,48,-25.36054993
1,1,2,22.63945007,49,-26.36054993
1,1,2,22.63945007,50,-27.36054993
1,1,2,22.63945007,51,-28.36054993
1,1,2,22.63945007,52,-29.36054993
1,1,2,22.63945007,53,-30.36054993
1,1,2,22.63945007,54,-31.36054993
1,1,2,22.63945007,55,-32.36054993
1,1,2,22.63945007,56,-33.36054993
1,1,2,22.63945007,57,-34.36054993
1,1,2,22.63945007,58,-35.36054993
1,1,2,22.63945007,59,-36.36054993
1,1,2,22.63945007,60,-37.36054993
1,1,2,22.63945007,61,-38.36054993
1,1,2,22.63945007,62,-39.36054993
1,1,2,22.63945007,63,-40.36054993
1,1,2,22.63945007,64,-41.36054993
1,1,2,22.63945007,65,-42.36054993
1,1,2,22.63945007,66,-43.36054993
1,1,2,22.63945007,67,-44.36054993
1,1,2,22.63945007,68,-45.36054993
1,1,2,22.63945007,69,-46.36054993
1,1,2,22.63945007,70,-47.36054993
1,1,2,22.63945007,71,-48.36054993
1,1,2,22.63945007,72,-49.36054993
1,1,2,22.63945007,73,-50.36054993
1,1,2,22.63945007,74,-51.36054993
1,1,2,22.63945007,75,-52.36054993
1,1,2,22.63945007,76,-53.36054993
1,1,2,22.63945007,77,-54.36054993
1,1,2,22.63945007,78,-55.36054993
1,1,2,22.63945007,79,-56.36054993
1,1,2,22.63945007,80,-57.36054993
1,1,2,22.63945007,81,-58.36054993
1,1,2,22.63945007,82,-59.36054993
1,1,2,22.63945007,83,-60.36054993
1,1,2,22.63945007,84,-61.36054993
1,1,2,22.63945007,85,-62.36054993
1,1,2,22.63945007,86,-63.36054993
1,1,2,22.63945007,87,-64.36054993
1,1,2,22.63945007,88,-65.36054993
1,1,2,22.63945007,89,-66.36054993
